Model,Accuracy,R2_Score,MAE,RMSE
ANN Classifier,1.0,,,
Random Forest Classifier,1.0,,,
Decision Tree Classifier,1.0,,,
Random Forest Regressor,,0.99992,0.002666666666666625,0.005163977794943141
